Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
11,KILLER,Comfortable Outdoor Sneakers For Men,₹799,3.8,"1,701 ratings and 136 reviews",https://www.flipkart.com/killer-comfortable-outdoor-sneakers-men/p/itm9bca32b05edd2?pid=SHOH4QUYZZFUUA73&lid=LSTSHOH4QUYZZFUUA73IABROS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=3087ec9b-608a-4de4-b1ba-f3bd33056077.SHOH4QUYZZFUUA73.SEARCH&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
12,CAMPUS,Puma Rungryp Sneakers For Men,"₹1,293",4.1,"42,556 ratings and 2,789 reviews",https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm7b4744135bc9c?pid=SHOGQAZDZPHFMMAG&lid=LSTSHOGQAZDZPHFMMAGGYJWCX&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=3087ec9b-608a-4de4-b1ba-f3bd33056077.SHOGQAZDZPHFMMAG.SEARCH&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
13,CAMPUS,KL8044 Lightweight Comfort Summer Trendy Premium Stylish Loafers For Men,"₹1,565",3.7,"5,467 ratings and 264 reviews",https://www.flipkart.com/killer-kl8044-lightweight-comfort-summer-trendy-premium-stylish-loafers-men/p/itm015f72ed4c7eb?pid=SHOGFDGYCNXSD5RW&lid=LSTSHOGFDGYCNXSD5RWMLRSL9&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_58&otracker=search&otracker1=search&fm=organic&iid=en_mXKJK72HfqPxMW4EU7tu_4YUOi1ZI2PsAEi-ECynCX2ZXr3GIlFT8FVrhgEPxvPDEaypsJI5hRACPmqWSmEZtA%3D%3D&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
14,asian,"Casual Sneaker Shoes For Men|| Soft Cushioned Insole, Slip-Resistance Running Shoes For Men","₹1,626",4.1,"8,794 ratings and 715 reviews",https://www.flipkart.com/asian-casual-sneaker-shoes-men-soft-cushioned-insole-slip-resistance-running-men/p/itmef3c2c693ec6e?pid=SHOGVKGU9F2RVGK7&lid=LSTSHOGVKGU9F2RVGK7P0KEDS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_61&otracker=search&otracker1=search&fm=organic&iid=en_mXKJK72HfqPxMW4EU7tu_4YUOi1ZI2PsAEi-ECynCX0GErxCzkYdlprRk_AWUupdUawHWEdguclPCtdmpohVWKV8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
15,asian,Hyper Speed 4 Running Shoes For Men,₹846,4.5,52 ratings and 7 reviews,https://www.flipkart.com/asics-hyper-speed-4-running-shoes-men/p/itm79c359c592152?pid=SHOH7UW3ZGWBVTS4&lid=LSTSHOH7UW3ZGWBVTS42LTIRO&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_67&otracker=search&otracker1=search&fm=organic&iid=en_mXKJK72HfqPxMW4EU7tu_4YUOi1ZI2PsAEi-ECynCX2J28xgScu1XVY2tQW3Z6cP95EbihEkVVf5u9VsJm2x8YQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
16,REEBOK,RACER TR23 Casuals For Men,"₹1,225",4.1,"1,228 ratings and 93 reviews",https://www.flipkart.com/adidas-racer-tr23-casuals-men/p/itme8fbf71eb9ac7?pid=SHOGZT5YW3SACJFY&lid=LSTSHOGZT5YW3SACJFY3RUAEB&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_71&otracker=search&otracker1=search&fm=organic&iid=en_mXKJK72HfqPxMW4EU7tu_4YUOi1ZI2PsAEi-ECynCX3GPzGRF_5sNiZk9lys4lynHaJl67uICxw25U_Tv7tGFuo15S0a61Wzzbg3qNOknKY%3D&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
17,Abros,"Sneaker For Men| Soft Cushioned Insole, Slip-Resistance Training & Gym Shoes Running Shoes For Men",₹713,4,"3,878 ratings and 255 reviews",https://www.flipkart.com/asian-sneaker-men-soft-cushioned-insole-slip-resistance-training-gym-shoes-running-men/p/itm9c5b253e9f2be?pid=SHOH4MEKVY6UPJDZ&lid=LSTSHOH4MEKVY6UPJDZSVJ1FM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_74&otracker=search&otracker1=search&fm=organic&iid=3087ec9b-608a-4de4-b1ba-f3bd33056077.SHOH4MEKVY6UPJDZ.SEARCH&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
18,Asics,Sneakers For Men,"₹5,999",3.8,"16,776 ratings and 1,457 reviews",https://www.flipkart.com/asian-sneakers-men/p/itm5a5bd3b7ba955?pid=SHOGN5AFCGHDGZYG&lid=LSTSHOGN5AFCGHDGZYG3AKLZK&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_79&otracker=search&otracker1=search&fm=organic&iid=3087ec9b-608a-4de4-b1ba-f3bd33056077.SHOGN5AFCGHDGZYG.SEARCH&ppt=None&ppn=None&ssid=ail59qx0jk0000001741796490512&qH=b0a8b6f820479900
19,ADIDAS,ExcelCourt M Basketball Shoes For Men,"₹2,175",4.1,"14,236 ratings and 933 reviews",https://www.flipkart.com/adidas-excelcourt-m-basketball-shoes-men/p/itmb29d48d3af202?pid=SHOGA5F6Y3CKPBDM&lid=LSTSHOGA5F6Y3CKPBDMUD9VWY&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_81&otracker=search&otracker1=search&fm=organic&iid=en_7Mor9f7gaAvbCXL1BJV6j4vGE4mleb83VTTbNApaaNOhIQP6XSHsfFGh3hPaGfEJaW-jY1K6IgP7FDTceV8RSQ%3D%3D&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
20,JQR,"EAST Sports shoes, Running, Walking, Lightweight, Gym, Trakking, Stylish Running Shoes For Men",₹625,4.1,"5,155 ratings and 605 reviews",https://www.flipkart.com/jqr-east-sports-shoes-running-walking-lightweight-gym-trakking-stylish-running-shoes-men/p/itmcd9bd3048eed5?pid=SHOGHZGWJFKUZAMC&lid=LSTSHOGHZGWJFKUZAMCOKCNSS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_3_85&otracker=search&otracker1=search&fm=organic&iid=4ee3cf81-9c3a-46fb-90c0-42e9cb93fdf7.SHOGHZGWJFKUZAMC.SEARCH&ppt=None&ppn=None&ssid=777n76vhsw0000001741796496908&qH=b0a8b6f820479900
