Product Number,Company,Details,Price,Rating,Number of Ratings & Reviews,Link
55,Stylelure,Turboglide Running Shoes For Women,₹699,4.2,131 ratings and 3 reviews,https://www.flipkart.com/puma-turboglide-running-shoes-women/p/itmda0071c15cce1?pid=SHOHFZM3CPBJJXPH&lid=LSTSHOHFZM3CPBJJXPHV7Q1BO&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_254&otracker=search&otracker1=search&fm=organic&iid=0b03411f-a3f6-4260-8669-ea65ec6718ce.SHOHFZM3CPBJJXPH.SEARCH&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
56,ADIDAS,GlideEase M Running Shoes For Men,"₹1,514",4.1,"46,212 ratings and 3,421 reviews",https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itmc8340026ad1b5?pid=SHOGFFYSJCVPUCZC&lid=LSTSHOGFFYSJCVPUCZCVKLB6Z&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_257&otracker=search&otracker1=search&fm=organic&iid=en_ycmHYUOOBhsYMhIZz3ucSmyII5L3Ayz7K_5IXS2h6w8mw7gKipEVED1EtzWMSPfjSN-lKwjwgraD53kB-vLGKA%3D%3D&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
57,PUMA,Coarse Sneakers For Men,"₹2,799",4.1,"5,983 ratings and 349 reviews",https://www.flipkart.com/puma-coarse-sneakers-men/p/itm3e0d4449877d8?pid=SHOGMYD2GNHG3HNW&lid=LSTSHOGMYD2GNHG3HNWQTGRZC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_261&otracker=search&otracker1=search&fm=organic&iid=en_ycmHYUOOBhsYMhIZz3ucSmyII5L3Ayz7K_5IXS2h6w9Cvtiav_zFCaKk6gzzYQdCTWUxhNJvYoh4Fkg6-c_T8A%3D%3D&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
58,PUMA,Softride Alexandria Wns Walking Shoes For Women,"₹4,499",4.3,22 ratings and 2 reviews,https://www.flipkart.com/puma-softride-alexandria-wns-walking-shoes-women/p/itm92041bf434e02?pid=SHOH33SD4PZQCTFP&lid=LSTSHOH33SD4PZQCTFPEE0RIX&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_266&otracker=search&otracker1=search&fm=organic&iid=0b03411f-a3f6-4260-8669-ea65ec6718ce.SHOH33SD4PZQCTFP.SEARCH&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
59,PUMA,BMW Motorsport Drift Cat 5 Ultra Motorsport Shoes For Men,"₹2,779",4.3,"1,689 ratings and 166 reviews",https://www.flipkart.com/puma-bmw-motorsport-drift-cat-5-ultra-shoes-men/p/itmfcytwzstvsznj?pid=SHOFCYGKK3YZYZSM&lid=LSTSHOFCYGKK3YZYZSMXLPWA0&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_271&otracker=search&otracker1=search&fm=organic&iid=en_ycmHYUOOBhsYMhIZz3ucSmyII5L3Ayz7K_5IXS2h6w8MtEOriM32fsPI-TVhwf9aAYEP1Pmi57ACg_NBFZP30kKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
60,PUMA,Chunky & Fashionable Sneaker | Running Shoes with Rubber Outsole Sneakers For Men,"₹1,520",3.8,31 ratings and 2 reviews,https://www.flipkart.com/flexfit-chunky-fashionable-sneaker-running-shoes-rubber-outsole-sneakers-men/p/itmda3e2656f068b?pid=SHOH4T9REGS9GTKG&lid=LSTSHOH4T9REGS9GTKG3YJJCZ&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_7_274&otracker=search&otracker1=search&fm=organic&iid=0b03411f-a3f6-4260-8669-ea65ec6718ce.SHOH4T9REGS9GTKG.SEARCH&ppt=None&ppn=None&ssid=ooc9uroxj40000001741790499982&qH=12daa41359850f83
61,PUMA,Puma Buzz Wmn Running Shoes For Women,"₹1,007",4.3,"7,400 ratings and 468 reviews",https://www.flipkart.com/puma-buzz-wmn-running-shoes-women/p/itm0a5f55f1c9271?pid=SHOGGEYGG5VGFHGM&lid=LSTSHOGGEYGG5VGFHGMUS32CS&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_283&otracker=search&otracker1=search&fm=organic&iid=5dbb15a9-ceb9-408a-bde7-dedca930b5c0.SHOGGEYGG5VGFHGM.SEARCH&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
62,PUMA,Robust Knit Running Shoes For Men,"₹1,350",4.1,"1,097 ratings and 66 reviews",https://www.flipkart.com/puma-robust-knit-running-shoes-men/p/itm7aca757be920f?pid=SHOGAB2ZHXV8YJ3B&lid=LSTSHOGAB2ZHXV8YJ3BNQPDTX&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_285&otracker=search&otracker1=search&fm=organic&iid=5dbb15a9-ceb9-408a-bde7-dedca930b5c0.SHOGAB2ZHXV8YJ3B.SEARCH&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
63,PUMA,Rungryp Sneakers For Men,"₹1,520",4.1,"42,556 ratings and 2,789 reviews",https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm7b4744135bc9c?pid=SHOGQAZDXZPJHYP9&lid=LSTSHOGQAZDXZPJHYP95FZQQ5&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_291&otracker=search&otracker1=search&fm=organic&iid=en_-2pPvyFzdukSQlnTDTWATS3mC1HprOAPioSjGRibDhNqbFOP6lD55k78SdyWjDa1uJDG7NrC-v-0xDE5LF-7OA%3D%3D&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
64,PUMA,Puma Levyrun IDP Running Shoes For Men,"₹1,466",3.8,69 ratings and 4 reviews,https://www.flipkart.com/puma-levyrun-idp-running-shoes-men/p/itm45a57fbacea66?pid=SHOGQAZDFFCHVQYZ&lid=LSTSHOGQAZDFFCHVQYZ9I4WKC&marketplace=FLIPKART&q=puma+shoes&store=osp&srno=s_8_293&otracker=search&otracker1=search&fm=organic&iid=5dbb15a9-ceb9-408a-bde7-dedca930b5c0.SHOGQAZDFFCHVQYZ.SEARCH&ppt=None&ppn=None&ssid=2e82ajxf3k0000001741790505421&qH=12daa41359850f83
