product_name,price,rating,number_of_reviews,product_url
Men's Off White Tapered Fit Distressed Jeans,1299,4.5,N/A,https://www.bewakoof.com/p/mens-white-tapered-fit-jeans
Men's Black Baggy Cargo Jeans,1499,4.5,8 reviews,https://www.bewakoof.com/p/mens-black-regular-fit-denim
Men's Brown Straight Fit Plus Size Acid Wash Jeans,1899,4.5,N/A,https://www.bewakoof.com/p/mens-brown-straight-fit-plus-size-acid-wash-jeans-men
Men's Blue Washed Jeans,803,N/A,N/A,https://www.bewakoof.com/p/kotty-mens-blue-washed-jeans-5
Graphic Print Men's Round or Crew Stylish New Trends Grey Casual T-Shirt,549,4.8,6 reviews,https://www.bewakoof.com/p/campus-sutra-graphic-print-men-round-or-crew-stylish-new-trends-grey-casual-t-shirt
Men's Olive Green Wide Leg Acid Wash Jeans,1599,4.5,N/A,https://www.bewakoof.com/p/mens-olive-green-wide-leg-acid-wash-jeans-men
Men's Blue Jeans,899,1,N/A,https://www.bewakoof.com/p/mens-black-jeans-jet-black-men
Men's Ice Blue Washed Denim Shirt,1099,N/A,N/A,https://www.bewakoof.com/p/mens-ice-blue-washed-denim-shirt
Men's Blue Baggy Jeans,999,4.5,1 reviews,https://www.bewakoof.com/p/mens-blue-jeans-rinse-blue
Men's Blue Baggy Jeans,1599,4.4,1 reviews,https://www.bewakoof.com/p/mens-blue-jeans-light-indigo
Men's Olive Green Baggy Wide Leg Jeans,1599,4.4,N/A,https://www.bewakoof.com/p/mens-green-wide-leg-jeans-olive-new
Men's Olive Baggy Straight Fit Jeans,1399,4.5,N/A,https://www.bewakoof.com/p/mens-green-straight-fit-denim
Men's Navy Blue Baggy Straight Fit Washed Cargo Jeans,1499,4.6,1 reviews,https://www.bewakoof.com/p/mens-navy-blue-straight-fit-cargo-jeans
Men's Brown Baggy Wide Leg Jeans,1599,4.5,N/A,https://www.bewakoof.com/p/mens-brown-wide-leg-jeans-brown-old
Men's White Baggy Straight Fit Jeans,1499,4.4,1 reviews,https://www.bewakoof.com/p/mens-white-straight-fit-denim
Men's Blue & Grey Color Block Straight Fit Jeans,999,4.5,N/A,https://www.bewakoof.com/p/mens-blue-straight-fit-inside-out-jeans
Men's Black Baggy Straight Fit Jeans,1699,4.4,9 reviews,https://www.bewakoof.com/p/mens-black-straight-fit-jeans-jet-black
Men's Stylish Casual T-Shirt,404,4.3,7 reviews,https://www.bewakoof.com/p/campus-sutra-men-stylish-casual-t-shirt-men
Men's Chalk White Relaxed Fit Jeans,1259,1,N/A,https://www.bewakoof.com/p/mens-chalk-white-relaxed-fit-jeans
Men's Prussian Blue Oversized Plus Size Cargo Jeans,1199,5,N/A,https://www.bewakoof.com/p/mens-prussian-blue-oversized-plus-size-cargo-jeans
Men's Blue Washed Skinny Fit Jeans,660,1,N/A,https://www.bewakoof.com/p/mens-blue-washed-skinny-fit-jeans-18
Men's Navy Blue Relaxed Fit Carpenter Jeans,839,1,N/A,https://www.bewakoof.com/p/mens-navy-blue-carpenter-jeans
Men's Blue Relaxed Fit Cargo Denim Jeans,979,4.4,5 reviews,https://www.bewakoof.com/p/mens-blue-cargo-denim-jeans
Men's Navy Blue & White Checked Denim Shirt,1399,N/A,N/A,https://www.bewakoof.com/p/mens-navy-blue-white-checked-shirt-men-blue
Men's Black Washed Bootcut Jeans,1735,N/A,N/A,https://www.bewakoof.com/p/mens-black-washed-bootcut-jeans
Men's Blue Regular Fit Jeans,809,4.3,3 reviews,https://www.bewakoof.com/p/campus-sutra-men-blue-solid-regular-fit-jeans46
Men's Light Blue Washed Jeans,1035,1,N/A,https://www.bewakoof.com/p/mens-light-blue-washed-jeans
Men's Blue Washed Distressed Oversized Cargo Jeans,1035,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-distressed-cargo-jeans
Men's Grey Washed Baggy Relaxed Fit Jeans,1599,1,N/A,https://www.bewakoof.com/p/mens-grey-washed-baggy-relaxed-fit-jeans-men
Men's Black Washed Jeans,1124,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-jeans-men-blue
Men's Slim Blue Torn Jeans,664,4.8,7 reviews,https://www.bewakoof.com/p/campus-sutra-slim-men-blue-torn-jeans
Men's Blue Washed Distressed Jeans,879,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-distressed-jeans-scss23jn-dnefad4-m-pln-bu
Men's Black Striped Jeans,474,N/A,N/A,https://www.bewakoof.com/p/mens-black-striped-jeans-scss23jn-dncufzp-m-pln-bl
Men's Light Blue Relaxed Fit Cargo Jeans,1035,1,N/A,https://www.bewakoof.com/p/mens-light-blue-cargo-jeans
Men's Indigo Blue Washed Distressed Straight Fit Cargo Jeans,1259,1,N/A,https://www.bewakoof.com/p/mens-indigo-blue-washed-distressed-straight-fit-cargo-jeans
Men's Blue Washed Distressed Denim Shorts,809,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-distressed-denim-shorts-men
Men's Light Blue Oversized Plus Size Cargo Jeans,1349,5,N/A,https://www.bewakoof.com/p/mens-light-blue-oversized-plus-size-cargo-jeans-light-blue
Men's Light Blue Relaxed Fit Jeans,1259,1,N/A,https://www.bewakoof.com/p/mens-light-blue-relaxed-fit-jeans-men
Men's Dark Indigo Blue Washed Bootcut Jeans,1735,N/A,N/A,https://www.bewakoof.com/p/mens-dark-indigo-blue-washed-bootcut-jeans
Men's White & Navy Blue Checked Denim Shirt,1399,5,1 reviews,https://www.bewakoof.com/p/mens-white-navy-blue-checked-shirt
Men's Red & Navy Blue Checked Denim Shirt,1399,N/A,N/A,https://www.bewakoof.com/p/mens-red-navy-blue-checked-shirt
Men's Navy Blue & Brown Checked Denim Shirt,1399,N/A,N/A,https://www.bewakoof.com/p/mens-navy-blue-brown-checked-shirt-men
Men's Navy Blue & Grey Checked Denim Shirt,1399,N/A,N/A,https://www.bewakoof.com/p/mens-navy-blue-grey-checked-shirt
Men's Purssian Blue Washed Jacket,909,N/A,N/A,https://www.bewakoof.com/p/mens-purssian-blue-washed-jacket
Men's Blue Washed Distressed Jeans,759,N/A,N/A,https://www.bewakoof.com/p/mens-blue-washed-distressed-jeans-scss23jn-shdfpk-m-pln-bu
Men's Black Washed Jeans,1525,5,1 reviews,https://www.bewakoof.com/p/mens-black-washed-jeans-black
Men's Navy Blue Straight Fit Cargo Jeans,839,1,N/A,https://www.bewakoof.com/p/mens-navy-blue-straight-fit-cargo-jeans-men
Men's Grey Washed Bootcut Jeans,1735,N/A,N/A,https://www.bewakoof.com/p/mens-grey-washed-bootcut-jeans
Men's Black Washed Jeans,989,N/A,N/A,https://www.bewakoof.com/p/mens-black-washed-jeans-2
Men's Navy Blue & Red Checked Denim Shirt,1399,N/A,N/A,https://www.bewakoof.com/p/mens-navy-blue-red-checked-shirt-men
Men's Black Relaxed Fit Cargo Carpenter Jeans,1785,N/A,N/A,https://www.bewakoof.com/p/mens-black-relaxed-fit-cargo-carpenter-jeans
Men's Light Blue Textured Denim Jacket,1399,N/A,N/A,https://www.bewakoof.com/p/mens-light-blue-textured-denim-jacket
Men's Light Blue Washed Denim Jacket,1399,5,2 reviews,https://www.bewakoof.com/p/mens-light-blue-washed-denim-jacket
Men's Light Blue Oversized Plus Size Cargo Jeans,1349,N/A,N/A,https://www.bewakoof.com/p/mens-light-blue-oversized-plus-size-cargo-jeans-men
Date Night Stud Boy Jeans,764,4.7,8 reviews,https://www.bewakoof.com/p/campus-sutra-slim-men-blue-jeans
Men's Blue Regular Fit Jeans,759,4.6,4 reviews,https://www.bewakoof.com/p/campus-sutra-men-blue-solid-regular-fit-jeans36
Men's Navy Blue Denim Pants,839,N/A,N/A,https://www.bewakoof.com/p/mens-navy-blue-denim-pants
Men's Black Distressed Shorts,569,5,N/A,https://www.bewakoof.com/p/mens-blue-distressed-shorts
Diet Na Ho Payega Printed T-Shirt,459,1,N/A,https://www.bewakoof.com/p/bushirt-diet-na-ho-payega-printed-t-shirt
Bahar Se Silent Printed T-Shirt,459,1,N/A,https://www.bewakoof.com/p/bushirt-bahar-se-silent-printed-t-shirt
Happy Cycling Printed T-Shirt,489,1,N/A,https://www.bewakoof.com/p/bushirt-happy-cycling-printed-t-shirt
